"St.num.";"Station name";"St.num.";"Station name";;0,50;"Time1";"Time add";"Time2";;"Dist. ticket";"Ticket Wo";"Ticket Nw";"Serv.";"Interch.";"Dist. real";"Comment"
24;"Majorstua";29;"Larvik";;;73,04;3,35;76,39;;139,6100;440,40;264,24;32;;178,7480;
24;"Majorstua";30;"Porsgrunn";;;60,54;3,35;63,89;;153,9080;478,28;286,97;32;;153,9080;
24;"Majorstua";31;"Drangedal";;;76,13;12,30;88,42;;167,9892;515,78;309,47;16;1,00;167,9892;
24;"Majorstua";32;"Gjerstad";;;101,13;12,30;113,42;;200,0792;602,60;361,56;16;1,00;200,0792;
24;"Majorstua";33;"Arendal";;;181,13;12,30;193,42;;280,6592;804,04;482,42;16;1,00;280,6592;
24;"Majorstua";34;"Kristiansand";;;196,13;12,30;208,42;;328,3192;918,76;551,26;16;1,00;328,3192;
25;"Oslo S";1;"Bergen";111,20;51,55;136,98;2,30;139,27;;411,3300;1106,26;663,75;32;;411,330;
25;"Oslo S";2;"Arna";104,97;51,55;130,74;2,30;133,04;;401,9800;1084,40;650,64;32;;401,980;
25;"Oslo S";3;"Tysse";100,63;47,92;124,59;2,30;126,89;;384,4040;1046,78;628,07;16;;384,404;
25;"Oslo S";4;"Kvam-Jondal";93,70;44,51;115,95;2,30;118,25;;356,9880;983,55;590,13;16;;356,988;
25;"Oslo S";5;"Odda";86,90;40,01;106,90;2,30;109,20;;325,7340;911,72;547,03;16;;325,734;
25;"Oslo S";6;"Røldal";78,98;35,75;96,86;2,30;99,16;;289,9040;825,90;495,54;16;;289,904;
25;"Oslo S";7;"Sauda";83,93;35,75;101,81;0,33;102,14;;309,9160;873,90;524,34;16;;309,916;
25;"Oslo S";8;"Ølen";91,64;39,80;111,55;0,33;111,88;;342,1060;951,35;570,81;16;;342,106;
25;"Oslo S";9;"Aksdal";99,23;43,81;121,13;-1,63;119,50;;374,3960;1024,38;614,63;16;;374,396;
